C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T,Regi—n Sanitaria
10063432200251,120,1,1,1,1,1,1,1,REGION XI
10062172200354,336,1,1,1,1,1,1,1,REGION XI
10062382200485,222,1,1,1,1,1,1,1,REGION XI
10062452100388,379,1,1,1,1,1,1,0,REGION XI
10065472100379,999999,9,9,9,9,9,9,9,REGION XI
10061342200198,999999,9,9,9,9,9,9,9,REGION XI
10068122200325,999999,9,9,9,9,9,9,9,REGION XI
10064412100399,1336,1,1,1,1,1,1,0,REGION XI
10064272100387,2881,1,1,1,1,1,1,1,REGION XII
10064272100401,1918,1,1,1,1,1,1,1,REGION XII
12064272200555,1154,1,1,1,0,1,1,1,REGION XII
10064272200433,999999,9,9,9,9,9,9,9,REGION XII
