C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
10020012215217,2600,1,1,1,1,1,1,1
10020012215218,1659,1,1,1,1,1,1,1
10020012215220,2065,1,1,1,1,1,1,1
10020012215215,4051,1,1,1,1,1,1,1
12020012215264,7352,1,1,1,1,1,1,1
10020012215222,3489,1,1,1,1,1,1,1
10020012215221,1550,1,1,1,1,1,1,1
10020012215212,2825,1,1,1,1,1,1,1
10020012215219,1294,1,1,1,1,1,1,1
10020012215211,1321,9,9,9,9,9,9,9
10020012215213,1246,,,,,,,
10020012215214,1863,1,1,1,1,1,1,1
