C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
12260772129049,1000,1,1,1,1,1,1,1
10260352129041,500,1,1,1,1,1,1,1
10260212129011,1213,1,1,1,1,1,1,1
10260072129040,724,1,1,1,1,1,1,1
10260772129038,199,1,1,1,1,1,1,1
10260142129039,81,0,1,1,1,1,1,1
