C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
10460142155023,1800,1,1,1,1,1,1,1
12460422155044,600,1,1,1,1,1,1,1
12461122155045,229,1,1,0,0,1,0,1
10460072155037,144,1,1,1,0,1,1,1
12460282155043,100,0,0,1,0,1,0,1
10460352155035,98,1,1,1,1,1,0,1
