C�digo SISSA,N� Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
10900842196013,3576,1,1,1,1,1,1,1
12900842196063,9729,1,1,1,1,1,1,1
10900212196029,3321,1,1,1,1,1,1,1
10900702196022,46,0,0,1,1,1,1,1
