,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
año,codigo provincia,provincia,Aborto (O00 a O07),T Hipert(O10-016,T Placenta  (O44- O46),Otras  directas *,Hemorragia post (O72),Sepsis y  O (O85-O92),Enf por VIH (B20-B24),Otras ind (O98-O99),total muertes,nacidos vivos,proporciòn,razòn muertes x 10k nac
2008,58,Neuquén,0,0,0,0,1,1,0,1,3,11529,0.000260213,2.60213375
2009,58,Neuquén,1,0,0,0,0,1,0,4,6,11639,0.000515508,5.155082052
2010,58,Neuquén,1,2,0,0,0,1,0,0,4,12205,0.000327735,3.27734535
2006,62,Río Negro,0,1,0,0,0,1,0,0,2,10966,0.000182382,1.823819077
2007,62,Río Negro,1,0,0,2,0,0,0,1,4,11214,0.000356697,3.566969859
2008,62,Río Negro,0,2,0,0,0,0,0,1,3,11882,0.000252483,2.52482747
2009,62,Río Negro,0,0,0,0,0,1,0,1,2,11773,0.00016988,1.698802344
2010,62,Río Negro,0,0,0,0,0,1,0,0,1,12060,8.29187E-05,0.829187396
2006,66,Salta,5,2,1,1,0,1,0,0,10,24828,0.000402771,4.027710649
2007,66,Salta,7,0,0,4,0,2,0,5,18,24808,0.000725572,7.25572396
2008,66,Salta,0,4,0,2,1,5,1,3,16,26211,0.000610431,6.104307352
2009,66,Salta,4,4,0,2,0,4,0,8,22,26133,0.000841847,8.418474725
2010,66,Salta,4,2,0,1,2,2,0,5,16,27790,0.000575747,5.757466715
2006,70,San Juan,4,0,1,0,0,0,0,4,9,13971,0.000644192,6.441915396
2007,70,San Juan,4,0,1,2,0,1,0,2,10,14254,0.000701557,7.015574576
2008,70,San Juan,0,0,0,0,0,0,0,1,1,14425,6.93241E-05,0.693240901
2009,70,San Juan,2,0,0,0,1,1,0,5,9,14520,0.000619835,6.198347107
2010,70,San Juan,1,0,1,2,0,0,0,2,6,14189,0.000422863,4.22862781
2006,74,San Luis,4,1,0,0,1,0,0,0,6,8468,0.00070855,7.085498347
2007,74,San Luis,1,1,0,0,1,0,0,1,4,8265,0.000483969,4.83968542
2008,74,San Luis,0,1,1,0,0,0,0,0,2,8449,0.000236714,2.367144041
2009,74,San Luis,2,2,0,1,0,0,0,3,8,8134,0.000983526,9.835259405
2010,74,San Luis,0,0,0,1,1,0,0,1,3,7928,0.000378406,3.784056509
2006,78,Santa Cruz,0,0,0,0,2,0,0,0,2,5119,0.000390701,3.907013088
2007,78,Santa Cruz,1,0,0,0,0,0,0,0,1,5276,0.000189538,1.895375284
2008,78,Santa Cruz,0,0,0,0,0,0,0,1,1,5651,0.00017696,1.769598301
2009,78,Santa Cruz,0,0,0,0,0,0,0,3,3,5806,0.000516707,5.16706855
2010,78,Santa Cruz,0,0,0,0,0,1,0,1,2,6087,0.000328569,3.285690816
2006,82,Santa Fe,6,0,0,7,2,3,0,2,20,50602,0.000395241,3.952412948
2007,82,Santa Fe,1,7,3,1,0,3,0,1,16,50644,0.000315931,3.159308112
2008,82,Santa Fe,2,2,1,5,2,2,0,4,18,54804,0.000328443,3.284431793
2009,82,Santa Fe,5,2,1,9,0,4,0,17,38,53830,0.000705926,7.059260635
2010,82,Santa Fe,2,2,1,3,0,0,0,6,14,53152,0.000263396,2.633955449
2006,86,Santiago del Estero,1,0,0,3,1,2,0,0,7,16926,0.000413565,4.135649297
2007,86,Santiago del Estero,3,1,0,2,0,1,0,0,7,16634,0.000420825,4.208248166
2008,86,Santiago del Estero,5,3,1,3,1,1,0,0,14,17715,0.000790291,7.902907141
2009,86,Santiago del Estero,6,1,0,3,0,0,0,1,11,19129,0.000575043,5.750431282
2010,86,Santiago del Estero,2,0,0,1,0,0,0,0,3,17546,0.000170979,1.709791405
2006,90,Tucumán,6,2,0,3,2,3,0,2,18,26567,0.000677532,6.775322769
2007,90,Tucumán,4,2,0,4,2,6,0,1,19,28765,0.000660525,6.605249435
2008,90,Tucumán,3,1,0,3,1,2,0,2,12,29428,0.000407775,4.077749083
2009,90,Tucumán,1,1,2,4,2,1,0,0,11,28546,0.000385343,3.853429552
2010,90,Tucumán,4,0,0,4,0,0,0,1,9,30400,0.000296053,2.960526316
2006,94,Tierra del Fuego,0,0,0,0,0,0,0,0,0,2395,0,0
2007,94,Tierra del Fuego,0,0,0,0,0,0,0,0,0,2551,0,0
2008,94,Tierra del Fuego,0,0,0,0,0,1,0,0,1,2629,0.000380373,3.803727653
2009,94,Tierra del Fuego,1,0,0,0,0,0,0,0,1,2619,0.000381825,3.818251241
2010,94,Tierra del Fuego,0,0,0,0,0,0,0,0,0,2519,0,0
